
Begin Step 0, Time: -10, Systemstep: 0
Begin Step 97, Time: -9.99526, Systemstep: 4.88281e-05

Begin Step 98, Time: -9.99521, Systemstep: 4.88281e-05

Begin Step 99, Time: -9.99517, Systemstep: 4.88281e-05

Begin Step 100, Time: -9.99512, Systemstep: 4.88281e-05

Begin Step 101, Time: -9.99507, Systemstep: 4.88281e-05

Begin Step 102, Time: -9.99502, Systemstep: 4.88281e-05

Begin Step 103, Time: -9.99497, Systemstep: 4.88281e-05

Begin Step 104, Time: -9.99492, Systemstep: 4.88281e-05

Begin Step 105, Time: -9.99487, Systemstep: 4.88281e-05

Begin Step 106, Time: -9.99482, Systemstep: 4.88281e-05

Begin Step 107, Time: -9.99478, Systemstep: 4.88281e-05

Begin Step 108, Time: -9.99473, Systemstep: 4.88281e-05

Begin Step 109, Time: -9.99468, Systemstep: 4.88281e-05

Begin Step 110, Time: -9.99463, Systemstep: 4.88281e-05

Begin Step 111, Time: -9.99458, Systemstep: 4.88281e-05

Begin Step 112, Time: -9.99453, Systemstep: 4.88281e-05

Begin Step 113, Time: -9.99448, Systemstep: 4.88281e-05

Begin Step 114, Time: -9.99443, Systemstep: 4.88281e-05

Begin Step 115, Time: -9.99438, Systemstep: 4.88281e-05

Begin Step 116, Time: -9.99434, Systemstep: 4.88281e-05

Begin Step 117, Time: -9.99429, Systemstep: 4.88281e-05

Begin Step 118, Time: -9.99424, Systemstep: 4.88281e-05

Begin Step 119, Time: -9.99419, Systemstep: 4.88281e-05

Begin Step 120, Time: -9.99414, Systemstep: 4.88281e-05

Begin Step 121, Time: -9.99409, Systemstep: 4.88281e-05

Begin Step 122, Time: -9.99404, Systemstep: 4.88281e-05

Begin Step 123, Time: -9.99399, Systemstep: 4.88281e-05

Begin Step 124, Time: -9.99395, Systemstep: 4.88281e-05

Begin Step 125, Time: -9.9939, Systemstep: 4.88281e-05

Begin Step 126, Time: -9.99385, Systemstep: 4.88281e-05

Begin Step 127, Time: -9.9938, Systemstep: 4.88281e-05

Begin Step 128, Time: -9.99375, Systemstep: 4.88281e-05

Begin Step 129, Time: -9.9937, Systemstep: 4.88281e-05

Begin Step 130, Time: -9.99365, Systemstep: 4.88281e-05

Begin Step 131, Time: -9.9936, Systemstep: 4.88281e-05

Begin Step 132, Time: -9.99355, Systemstep: 4.88281e-05

Begin Step 133, Time: -9.99351, Systemstep: 4.88281e-05

Begin Step 134, Time: -9.99346, Systemstep: 4.88281e-05

Begin Step 135, Time: -9.99341, Systemstep: 4.88281e-05

Begin Step 136, Time: -9.99336, Systemstep: 4.88281e-05

Begin Step 137, Time: -9.99331, Systemstep: 4.88281e-05

Begin Step 138, Time: -9.99326, Systemstep: 4.88281e-05

Begin Step 139, Time: -9.99321, Systemstep: 4.88281e-05

Begin Step 140, Time: -9.99316, Systemstep: 4.88281e-05

Begin Step 141, Time: -9.99312, Systemstep: 4.88281e-05

Begin Step 142, Time: -9.99307, Systemstep: 4.88281e-05

Begin Step 143, Time: -9.99302, Systemstep: 4.88281e-05

Begin Step 144, Time: -9.99297, Systemstep: 4.88281e-05

Begin Step 145, Time: -9.99292, Systemstep: 4.88281e-05

Begin Step 146, Time: -9.99287, Systemstep: 4.88281e-05

Begin Step 147, Time: -9.99282, Systemstep: 4.88281e-05

Begin Step 148, Time: -9.99277, Systemstep: 4.88281e-05

Begin Step 149, Time: -9.99272, Systemstep: 4.88281e-05

Begin Step 150, Time: -9.99268, Systemstep: 4.88281e-05

Begin Step 151, Time: -9.99263, Systemstep: 4.88281e-05

Begin Step 152, Time: -9.99258, Systemstep: 4.88281e-05

Begin Step 153, Time: -9.99253, Systemstep: 4.88281e-05

Begin Step 154, Time: -9.99248, Systemstep: 4.88281e-05

Begin Step 155, Time: -9.99243, Systemstep: 4.88281e-05

Begin Step 156, Time: -9.99238, Systemstep: 4.88281e-05

Begin Step 157, Time: -9.99233, Systemstep: 4.88281e-05

Begin Step 158, Time: -9.99229, Systemstep: 4.88281e-05

Begin Step 159, Time: -9.99224, Systemstep: 4.88281e-05

Begin Step 160, Time: -9.99219, Systemstep: 4.88281e-05

Begin Step 161, Time: -9.99214, Systemstep: 4.88281e-05

Begin Step 162, Time: -9.99209, Systemstep: 4.88281e-05

Begin Step 163, Time: -9.99204, Systemstep: 4.88281e-05

Begin Step 164, Time: -9.99199, Systemstep: 4.88281e-05

Begin Step 165, Time: -9.99194, Systemstep: 4.88281e-05

Begin Step 166, Time: -9.99189, Systemstep: 4.88281e-05

Begin Step 167, Time: -9.99185, Systemstep: 4.88281e-05

Begin Step 168, Time: -9.9918, Systemstep: 4.88281e-05

Begin Step 169, Time: -9.99175, Systemstep: 4.88281e-05

Begin Step 170, Time: -9.9917, Systemstep: 4.88281e-05

Begin Step 171, Time: -9.99165, Systemstep: 4.88281e-05

Begin Step 172, Time: -9.9916, Systemstep: 4.88281e-05

Begin Step 173, Time: -9.99155, Systemstep: 4.88281e-05

Begin Step 174, Time: -9.9915, Systemstep: 4.88281e-05

Begin Step 175, Time: -9.99146, Systemstep: 4.88281e-05

Begin Step 176, Time: -9.99141, Systemstep: 4.88281e-05

Begin Step 177, Time: -9.99136, Systemstep: 4.88281e-05

Begin Step 178, Time: -9.99131, Systemstep: 4.88281e-05

Begin Step 179, Time: -9.99126, Systemstep: 4.88281e-05

Begin Step 180, Time: -9.99121, Systemstep: 4.88281e-05

Begin Step 181, Time: -9.99116, Systemstep: 4.88281e-05

Begin Step 182, Time: -9.99111, Systemstep: 4.88281e-05

Begin Step 183, Time: -9.99106, Systemstep: 4.88281e-05

Begin Step 184, Time: -9.99102, Systemstep: 4.88281e-05

Begin Step 185, Time: -9.99097, Systemstep: 4.88281e-05

Begin Step 186, Time: -9.99092, Systemstep: 4.88281e-05

Begin Step 187, Time: -9.99087, Systemstep: 4.88281e-05

Begin Step 188, Time: -9.99082, Systemstep: 4.88281e-05

Begin Step 189, Time: -9.99077, Systemstep: 4.88281e-05

Begin Step 190, Time: -9.99072, Systemstep: 4.88281e-05

Begin Step 191, Time: -9.99067, Systemstep: 4.88281e-05

Begin Step 192, Time: -9.99062, Systemstep: 4.88281e-05

Begin Step 193, Time: -9.99058, Systemstep: 4.88281e-05

Begin Step 194, Time: -9.99053, Systemstep: 4.88281e-05

Begin Step 195, Time: -9.99048, Systemstep: 4.88281e-05

Begin Step 196, Time: -9.99043, Systemstep: 4.88281e-05

Begin Step 197, Time: -9.99038, Systemstep: 4.88281e-05

Begin Step 198, Time: -9.99033, Systemstep: 4.88281e-05

Begin Step 199, Time: -9.99028, Systemstep: 4.88281e-05

Begin Step 200, Time: -9.99023, Systemstep: 4.88281e-05

Begin Step 201, Time: -9.99019, Systemstep: 4.88281e-05

Begin Step 202, Time: -9.99014, Systemstep: 4.88281e-05

Begin Step 203, Time: -9.99009, Systemstep: 4.88281e-05

Begin Step 204, Time: -9.99004, Systemstep: 4.88281e-05

Begin Step 205, Time: -9.98999, Systemstep: 4.88281e-05

Begin Step 206, Time: -9.98994, Systemstep: 4.88281e-05

Begin Step 207, Time: -9.98989, Systemstep: 4.88281e-05

Begin Step 208, Time: -9.98984, Systemstep: 4.88281e-05

Begin Step 209, Time: -9.98979, Systemstep: 4.88281e-05

Begin Step 210, Time: -9.98975, Systemstep: 4.88281e-05

Begin Step 211, Time: -9.9897, Systemstep: 4.88281e-05

Begin Step 212, Time: -9.98965, Systemstep: 4.88281e-05
